OKRES,OBEC,OKRSEK,PROP_MAE,OKRSEK_POC_HLASU,url_ps2021,url_ps2025
6203,583391,1,1.9,1207,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6203/583391_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6203/583391_1.json
6201,581534,1,1.91,111,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6201/581534_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6201/581534_1.json
2102,531596,3,1.91,168,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2102/531596_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2102/531596_3.json
2103,532860,7,1.91,188,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2103/532860_7.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2103/532860_7.json
2106,535311,1,1.91,208,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2106/535311_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2106/535311_1.json
2106,571792,1,1.91,225,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2106/571792_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2106/571792_1.json
4203,565067,2,1.91,279,https://www.volby.cz/appdata/ps2021/vysled/okrsek/4203/565067_2.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/4203/565067_2.json
2101,529818,1,1.91,334,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2101/529818_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2101/529818_1.json
3101,544256,10,1.91,349,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3101/544256_10.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3101/544256_10.json
5102,563510,3,1.91,374,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5102/563510_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5102/563510_3.json
7105,553476,1,1.91,392,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7105/553476_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7105/553476_1.json
2111,541206,1,1.91,398,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2111/541206_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2111/541206_1.json
7202,592404,1,1.91,453,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7202/592404_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7202/592404_1.json
3101,544256,80,1.91,478,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3101/544256_80.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3101/544256_80.json
2108,537781,1,1.91,503,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2108/537781_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2108/537781_1.json
6203,583855,1,1.91,503,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6203/583855_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6203/583855_1.json
2108,537683,6,1.91,526,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2108/537683_6.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2108/537683_6.json
8103,598933,7,1.91,623,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8103/598933_7.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8103/598933_7.json
8106,554588,14003,1.91,772,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8106/554588_14003.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8106/554588_14003.json
7204,585513,2,1.91,816,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7204/585513_2.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7204/585513_2.json
8104,599930,1,1.91,869,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8104/599930_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8104/599930_1.json
5202,573094,5,1.92,58,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5202/573094_5.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5202/573094_5.json
6203,595314,1,1.92,199,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6203/595314_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6203/595314_1.json
